"Id","Name","Dwords"
"1","Find the 'Scroll of Emperor'!","16842808;16842753;16842752;16777217;3604534;3407873"
"2","Three Treasures of Mu","16842824;16842752;16777217;16777216;7687456;6094940"
"3","Gain'Hero status'!","33554434;33554433;18284558;16842865;16842752;8519785"
"4","Secret of'Dark Stone'","33554433;18350094;16842752;9109642;8847360;2581870"
"5","Evidence of Strength","33555201;33554945;33554434;16842907;16842752;10092696"
"6","Infiltrate into Balgass Barrack","33685780;33685524;33620226;33620133;33620075;10748066"
"7","Into the 'Darkness' zone","33685505;33620226;33619968;11337900;11010049;10000000"
"8","",""
"9","",""
"10","",""
"11","",""
"12","",""
"13","",""
"14","",""
"15","",""
"16","",""
"17","",""
"18","",""
"19","",""
"20","",""
"21","",""
"22","",""
"23","",""
"24","",""
"25","",""
"26","",""
"27","",""
"28","",""
"29","",""
"30","",""
"31","",""
"32","",""
"33","",""
"34","",""
"35","",""
"36","",""
"37","",""
"38","",""
"39","",""
"40","",""
"41","",""
"42","",""
"43","",""
"44","",""
"45","",""
"46","",""
"47","",""
"48","",""
"49","",""
"50","",""
"51","",""
"52","",""
"53","",""
"54","",""
"55","",""
"56","",""
"57","",""
"58","",""
"59","",""
"60","",""
"61","",""
"62","",""
"63","",""
"64","",""
"65","",""
"66","",""
"67","",""
"68","",""
"69","",""
"70","",""
"71","",""
"72","",""
"73","",""
"74","",""
"75","",""
"76","",""
"77","",""
"78","",""
"79","",""
"80","",""
"81","",""
"82","",""
"83","",""
"84","",""
"85","",""
"86","",""
"87","",""
"88","",""
"89","",""
"90","",""
"91","",""
"92","",""
"93","",""
"94","",""
"95","",""
"96","",""
"97","",""
"98","",""
"99","",""
"100","",""
"101","",""
"102","",""
"103","",""
"104","",""
"105","",""
"106","",""
"107","",""
"108","",""
"109","",""
"110","",""
"111","",""
"112","",""
"113","",""
"114","",""
"115","",""
"116","",""
"117","",""
"118","",""
"119","",""
"120","",""
"121","",""
"122","",""
"123","",""
"124","",""
"125","",""
"126","",""
"127","",""
"128","",""
"129","",""
"130","",""
"131","",""
"132","",""
"133","",""
"134","",""
"135","",""
"136","",""
"137","",""
"138","",""
"139","",""
"140","",""
"141","",""
"142","",""
"143","",""
"144","",""
"145","",""
"146","",""
"147","",""
"148","",""
"149","",""
"150","",""
"151","",""
"152","",""
"153","",""
"154","",""
"155","",""
"156","",""
"157","",""
"158","",""
"159","",""
"160","",""
"161","",""
"162","",""
"163","",""
"164","",""
"165","",""
"166","",""
"167","",""
"168","",""
"169","",""
"170","",""
"171","",""
"172","",""
"173","",""
"174","",""
"175","",""
"176","",""
"177","",""
"178","",""
"179","",""
"180","",""
"181","",""
"182","",""
"183","",""
"184","",""
"185","",""
"186","",""
"187","",""
"188","",""
"189","",""
"190","",""
"191","",""
"192","",""
"193","",""
"194","",""
"195","",""
"196","",""
"197","",""
"198","",""
"199","",""
"200","",""
